"Dr. Seuss' The Cat in the Hat","Adventure,Comedy,Family","Conrad and Sally Walden (Spencer Breslin and Dakota Fanning) are home alone with their pet fish. It is raining outside, and there is nothing to do. Until The Cat in the Hat ('Mike Myers') walks in the front door. He introduces them to their imagination, and at first it's all fun and games, until things get out of hand, and The Cat must go, go, go, before their parents get back."
"Dungeons & Dragons","Action,Adventure,Fantasy","The Empire of Izmer has long been a divided land. The Mages - an elite group of magic-users - rule whilst the lowly commoners are powerless. Izmer's young Empress, Savina, wants equality and prosperity for all, but the evil Mage Profion is plotting to depose her and establish his own rule. The Empress possesses a scepter which controls Izmer's Golden Dragons. To challenge her rule, Profion must have the scepter, and tricks the Council of Mages into believing Savina is unfit to hold it. Knowing that Profion will bring death and destruction to Izmer, Savina must find the legendary Rod of Savrille, a mythical rod that has the power to control Red Dragons, a species even mightier than the Gold. Enter two thieves, Ridley and Snails, who unwittingly become instrumental in Savina's search for the Rod. Joined by a feisty Dwarf named Elwood, and helped by the Empress's expert tracker, the Elf Norda, the young heroes go in search of the Rod of Savrille. From the deadly maze of the Thieves Guild at Antius to an Elven Village, secret grotto and abandoned castles, Ridley and his band must outwit Profion's chief henchman Damodar at every turn while, back in Izmer, Profion prepares to do battle with the Empress. All depends on the Rod, but the outcome of the race to reach it first is far from certain, and Izmar's very survival hangs in the balance."
"Super Mario Bros.","Adventure,Comedy,Family","This is the story of two hard-working Italian plumber brothers named Mario Mario and Luigi Mario, who befriends a young paleontologist named Daisy. She uncovers a massive find of mysterious new dinosaur bones. While exploring the tunnels where dinosaur fossils lay, saboteurs hired by the Mario Bros. rival businessman, Anthony Scapelli, to break some underground pipes. Meanwhile, in a hidden world called Dinohattan, King Koopa's land is running out of water and going through problems so he sends Spike and Iggy to kidnap Daisy! Now the Super Mario Bros. find themselves the only hope to save the Earth from invasion then challenge a diabolical lizard king and they must battle giant reptilian goombas, outwit misfit thugs, and undermine sinister scheme by taking over the world!"
"College Road Trip","Adventure,Comedy,Drama","Melanie Porter (Raven-Symone)is a talented high school graduate who has selected a University 800 miles from home. Her over protective father, James (Martin Lawrence) doesn't want her to be so far away, so he cooks up a plot to try to convince her to go to a local University. On the guise of going to her selected university, he forces a visit to his preferred (close to home) school. This is a typical road trip movie with lost cars, bumming rides on buses and planes, covering that difficult time of life when a father loses control of his daughter."
"Kangaroo Jack","Adventure,Comedy,Crime","This is the story of two best friends Charlie Carbone, a hair stylist in New York and Louis Booker, a down-on-the-luck musician, who both are involved with the local mob family led by Salvatore 'Sal' Maggio. After their first job attempt at delivering stolen televisions to a local warehouse was backfired by brining the heat (the NYPD), Sal, completely upset, gives Charlie and Louis one more chance at redemption. His younger employee, Frankie Lombardo, gives the guys the most important assignment: to fly to Australia and deliver the mob's $50,000 to a Mr. Smith in the exact time. And so begins a cross-content trek of mishaps including: ramming a kangaroo down on the road, flying in a bush airplane and tranquilizing the pilot, walking in the burning desert, and eventually teaming up with a wildlife expert named Jessie to chase down the kangaroo who has the the $50,000 mob money. Can Charlie, Louis, and Jessie survive the heat, get the money, and save the day without getting killed by the mob?"
"Are We There Yet?","Adventure,Comedy,Drama","The fledgling romance between Nick, a playboy bachelor, and Suzanne, a divorced mother of two, is threatened by a particularly harrowing New Year's Eve. When Suzanne's work keeps her in Vancouver for the holiday, Nick offers to bring her kids to the city from Portland, Oregon. The kids, who have never liked any of the men their mom has dated, are determined to turn the trip into a nightmare for Nick."
"The Santa Clause 3: The Escape Clause","Adventure,Comedy,Family","Santa's got problems: it's a few days before Christmas and production lags, Mrs. Claus is about to give birth to their first child and wants family time, and Jack Frost (tired of second billing) is on probation under his supervision. He tries to support his wife by bringing her parents to the North Pole (to preserve his secret, they must think it's Canada). He also brings his ex-wife Laura, her husband Neil, and their daughter Lucy. Inside the toy factory, Jack makes mischief and hatches a plan to become Santa. With Santa juggling that many snow globes, something is bound to go wrong. But if things get too difficult, he can always exercise his option to invoke the Escape Clause. Will he?"
"Anaconda","Adventure,Thriller","Sent on a National Geographic survey of the jungle to capture the largest anaconda, a group of cardboard cutouts posing as actors bite off more than they can chew and get chewed up by an over sized and very agitated snake. That sums up the film. What looks like it may be a turkey is saved by a CGI snake upstaging all the actors and devouring them. Unfortunately J-Lo survives since she would be too glamorous to be devoured and she would have made the snake look tame by comparison by throwing a hissy fit if she was to be eaten. The perfect Saturday night film showing that not all films need to aspire to Citizen Kane and fun for the sake of it is an art form in itself"
"Black Knight","Adventure,Comedy,Fantasy","Jamal Walker is a bumbling African-American loser with a lousy job at a crummy theme park called Medieval World, which is receiving heavy competition from a superior stadium with a similar theme, Castle World. Jamal's pathetic life, however, is dramatically altered while cleaning the stagnant moat. He finds a medallion in the moat, and while trying to pull it from its spot gets sucked into a vortex after an apparent knock on the head. Awakening in England, 1328, he bungles his way through this strange new world, learning his modern lifestyle learned in the ghetto clashes strongly with the Renaissance period. Believed to be French, for his odd dress and manner of speech, Jamal finds himself banding with an attractive freedom fighter named Victoria, and Knolte, an alchoholic, penniless former knight who failed his queen and allowed her to be overthrown by an evil king, whom Jamal is forced to perform for as a jester named Sir Skywalker. However, he may be forced to become no less then, indeed, a black knight, who will have to fight in a vicious battle - after making love to Victoria, of course."
"The Twilight Saga: New Moon","Adventure,Drama,Fantasy","Last time we see saw Bella Swan she was narrowly escaping the clutches of the evil vampire James while finding love with ''vegetarian'' vampire Edward Cullen. Bella and Edward's lives have been full of nothing but love and bliss however, it all changes one fateful day. On Bella's birthday, her new found friend and sister of Edward, Alice, decides to throw her lavish party, complete with balloons, ribbons and cake that could feed an army. All is well until Bella accidentally cuts her finger whilst opening a present. The result is that Jasper Hale, the newest addition to the Cullen clan, succumbs to his blood lust and attacks Bella. Edward decides that while he and his family are around, Bella's life will always be at risk. So he decides to leave her for her own good. Bella feels her life is over. Enter Jacob Black, a member of the Quilite tribe who manages to bring some joy and meaning back into Bella's life. However as the two become closer, Bella discovers Jacob has a secret of his own- he's a werewolf. As if that wasn't bad enough Bella can't seem to get the love of her life, Edward out of her mind. With new dangers, new friends and new enemies, Bella finds herself choosing between holding on to the past or accepting a new future. But what and more importantly who will she choose?"
"Nothing But Trouble","Adventure,Comedy,Horror","A financier [Chevy Chase] meets a spurned lover [Demi Moore] and agrees to take her to a business meeting. On the way there, they run a stop sign in a tiny town in the middle of nowhere. They are arrested and taken to the local court. But all is not as it seems: the courthouse and the "prison" are a maze of zany booby- traps and deadly contraptions. The antics of the captured couple as they try to escape from the mad judge and his bizarre family make up the rest of this unusual film."
"Herbie Fully Loaded","Adventure,Comedy,Family","Maggie Peyton is the new owner of Number 53--the free wheelin' Volkswagen bug with a mind of its own; she puts the car through its paces on the road to becoming a NASCAR competitor. As a third generation member of a NASCAR family, racing is in Maggie Peyton's blood, but she is forbidden from pursuing her dream by her overprotective father, Ray Peyton, Sr. When Ray Sr. offers Maggie a car as a college graduation present, he takes her to a junkyard to choose one from an assortment of very used cars. Maggie has her eye on an old Nissan, but a certain rusty, banged up '63 VW Bug seems to be clamoring for her attention. To her surprise, Maggie leaves the lot with Herbie. As she prepares to leave town for a position with ESPN News, Maggie discovers that Herbie has a mind of his own--and an alternate route for her future."
"Crocodile Dundee in Los Angeles","Adventure,Comedy","From the opening shot of a Jurassic Park-esque reptilian eye, you know you're in for a wild ride. As Mick "Crocodile" Dundee sits in a canoe sharpening his famous knife, a monstrous croc hides somewhere in the deep. Suddenly, it attacks, tearing Mick's boat to pieces and leaving him and mate Jacko up a tree. Life for Mick can only get easier, right? When Mick arrives at home, he discovers longtime companion Sue's newspaper-mogul father has called, and needs her help on an article at the paper's Los Angeles branch. Mick, who recognizes his importance in the modernizing bush is now no more than as a tourist attraction, agrees to join her, and together Mick, Sue, and son Mikey head for the wild country of L.A. Here the adventure truly begins, as Mick and Jacko brave a cowboy bar where the horsemen are of a different color, and a Hollywood film party where everyone seems interested in Mick's mate Malcolm "Mal" Gibson's colorful exploits. Soon, Sue's article leads to a sleazy film producer, so Mick gets a job as a monkey wrangler at his studio, where his investigation uncovers some very sketchy goings-on."
"Scooby-Doo","Adventure,Comedy,Family","Well Zoinks! They're back together again!! After two years apart, Mystery, Inc. are back together and ready to solve the mystery of Spooky Island. Spooky Island is a resort run by one Mr. Emile Mondavarious, who is having troubles with what he believes are real spooks. This is bad for business, when it gets around and threatens to send the guests scattering back to the mainland. Mondavarious convinces the gang that they are needed and should work together. But is the island really haunted, or is there just a sinister individual behind all the ride malfunctions and creepy, crawly creatures? If so, who could it be?"
"The Twilight Saga: Breaking Dawn - Part 1","Adventure,Drama,Fantasy","Bella and Edward are to marry. Jacob becomes upset when he learns that Bella is planning to consummate the marriage on her honeymoon. The wedding over, Bella and Edward spend their honeymoon on the Cullen's idyllic private island. But, to their dismay, they discover that Bella is pregnant. The fetus is growing at an accelerated rate and everyone fears for Bella's safety. Will she go ahead with her pregnancy, whatever the cost? The Quileutes close in as the unborn child poses a threat to the Wolf Pack and the towns people of Forks."
"Aliens vs. Predator: Requiem","Action,Horror,Sci-Fi","In Gunnison County, a spacecraft crashes in the woods bringing a powerful hybrid Alien hosted inside the pilot Predator. A local, Buddy Benson, and his son, Sam, are hunting in the forest and witness the crash, but they are chased and killed by the Alien. Meanwhile another Predator lands on the spot seeking out the Alien and destroys evidence of their presence on Earth. The dwellers of the town find themselves in the middle of a battlefield between the two deadly extraterrestrial creatures, and the small group of survivors splits between the leadership of Sheriff Eddie Morales and the bad-boy Dallas Howard. Both have different opinions about the best means to escape from the beings."
"Stay Alive","Horror,Thriller","Loomis Crowley is testing the underground game Stay Alive with his friends Sarah and Rex. When the game is over, Loomis finds Rex and Sarah dead in their room, and he is pushed by a shadow from the staircase, breaking the banister and hanging the same way he died in the game. Loomis' sister, Emma, gives his game to his best friend, Hutch. They, and his friends Miller, Phineus with his sister October, Swink and Abigail play the game together. When Miller and Phineus die the same way they died in the game, the survivors disclose that the game is based on the life of the evil Countess Elizabeth Bathory. She was buried alive in the tower of her real state in the Geronge Plantation. With the police chasing them, and after the death of October, the survivors reach the house and try to find the corpse of the Countess to destroy her fiend."
"The Grudge 2","Horror,Thriller","In Pasadena, Mrs. Davis sends her daughter Aubrey Davis to Tokyo to bring her sister Karen Davis, who is interned in a hospital after surviving a fire, back to the USA. After their meeting, Karen dies and Aubrey decides to investigate what happened to her and gets herself trapped in the same situation, being chased by the ghost of the house. Meanwhile in Tokyo, the three high school mates Allison, Vanessa and Miyuki visit the famous haunted house and are also chased by the ghost. In Chicago, Trish moves to the apartment of her boyfriend Bill, who lives with his children, the teenager Lacey and boy Jake. On the next door, weird things happen with their neighbor."
"Halloween: The Curse of Michael Myers","Horror,Thriller","Sixth in the series and the fifth to feature the character of Michael Myers. It has been six years since both Michael and Jamie disappeared from Haddonfield's Police Station. Now, in 1995, the kids of Haddonfield want to have parties on Halloween Night again after their parents have banned it since the incidents of 1988 (H4) and 1989 (H5). Meanwhile, Jamie has been raped by a cult but manages to escape with her new-born baby. But Michael in hot pursuit. The Strode family has moved into the Myers' house, in an attempt to break the curse and to finally sell the house. But daughter Kara Strode has problems with her son, Danny Strode who is haunted by the Man in Black (from H5). Help is at hand though from not only Dr. Loomis but also from an unexpected source, Tommy Doyle (one of the two child survivors from H1). Tommy has grown up and has researched into Michael's madness and he might have the answer..."
"Freddy's Dead: The Final Nightmare","Horror,Thriller","In part six of the Nightmare on Elm Street series, dream monster Freddy Krueger has finally killed all the children of his hometown, and seeks to escape its confines to hunt fresh prey. To this end, he recruits the aid of his (previously unmentioned) daughter. However, she discovers the demonic origin of her father's powers and meets Dad head-on in a final showdown (originally presented in 3-D)."
"My Soul to Take","Horror,Mystery,Thriller","In the sleepy town of Riverton, legend tells of a serial killer who swore he would return to murder the seven children born the night he died. Now, 16 years later, people are disappearing again. Has the psychopath been reincarnated as one of the seven teens, or did he survive the night he was left for dead? Only one of the kids knows the answer. Adam "Bug" Heller (Max Thieriot) was supposed to die on the last night the Riverton Ripper wrecked havoc on that terrifying night. Unaware of terrifying crimes being committed to the seven children, he has been plagued by nightmares of their murders while not aware if they hold true or if he is simply imagining the images that haunt him. But if Bug hopes to save his friends from the monster that's returned, he must face an evil that won't rest...until it finishes the job it began the day he was born."
"Captivity","Crime,Horror,Thriller","A young model is drugged, kidnapped and subject to harrowing torture in a cell of horrors in this spine chilling horror thriller. Jennifer is young, beautiful and famous. Everybody knows her name and her popularity brings her everything she wants in life- but one mans jealousy lures Jennifer to a dimension in torture when she finds herself drugged, captured and held in an underground maze of terror. Taken against her will and subject to psychological punishment, Jennifer soon questions her sanity as her watchful tormentor pits her in numerous twisted traps. After struggling to keep her mind, she meets with Gary, another prisoner in the sick games and together they try their wits to escape from the cells and defeat the madman behind the sick games- but are they already too late when they are bound, gagged and thrust into a world of pain?"
"Hostel: Part III","Horror,Mystery,Thriller","A couple of days before his wedding with Amy, Scott attends a bachelor party in Las Vegas with his friends Justin, Mike and Carter. They go to a Strip Club, where they meet the escorts Nikki and Angela that invite the four friends to go to a private party in the outskirts of Las Vegas. On the next morning, Scott, Justin and Carter realize that Mike, who is married with two children, is missing. Sooner they find that Nikki is also missing and they join to Angela to seek out the couple. They are abducted by a group of men and they discover that they will be submitted to sadistic tortures to satisfy the members of the Elite Hunting Club. Further, they find a surprising member of the club among the sick gamblers."
"Shrooms","Horror,Thriller","3 couples go to Ireland woods to collect magic mushrooms and trip out. On their way they meet some strange inhabitants of the woods and it doesn't take long until a creepy story is being told at the campfire which might be more than just a story. So strange things happen, people start disappearing, silhouettes move through the woods and the creepy story starts to melt into reality. The horror kicks in along with the effect of the mushrooms."
"The Roommate","Drama,Horror,Thriller","Fresh from Des Moines, Iowa, Sara Matthews has just landed in Los Angeles as a college freshman studying fashion design. She meets handsome Stephen, party-lover Tracy, and roommate Rebecca. Rebecca is nice, sweet and ready to share everything with Sara. It could be the beginning of a beautiful friendship. But Tracy is convinced that there's something seriously wrong with Rebecca and bad things start happening to everyone close to Sara. If Sara is to have a normal college experience, she's going to have to get to the bottom of what's up with Rebecca and quickly get out of her clutches."
"The Unborn","Horror,Mystery,Thriller","While babysitting a boy and his baby brother, Casey Beldon has a dreadful nightmare involving a weird dog and an evil child, and she tells her best friend Romy over the phone. Casey is haunted by this boy, and when she goes to the ophthalmologist, he asks if she has a twin brother or sister. She asks her father and discovers that her mother lost a son that died in the womb. Casey suspects that she is haunted by the spirit of her brother. She finds a letter addressed to a woman called Sofi Kozma and a creepy picture at home that belonged to her mother. She goes with Romy to a retirement home to meet Sofi, a survivor of the experiments during the Holocaust. But Sofi tells Casey that she had never met her mother and later calls Casey to tell her she is in great danger."
"Psycho","Horror,Mystery,Thriller","In this remake of Alfred Hitchcock's masterpiece, Anne Heche takes over Janet Leigh's role of Marion Crane, a young secretary whose boyfriend, Sam Loomis, has troubles paying off a debt and his wife's alimony. One day, a rich client of her boss buys a house with $400,000 in cash. To fix her problems, Marion steals the money and heads out to California to live her dream life with Sam. But she gets lost in a bad storm and stops at the Bates Motel, where the proprietor, Norman Bates, lives a very troubled life with his dominating mother, whom he lives with in their house on the hill next to the motel. A week later, Marion has vanished and no one can find her or the stolen money, not even Sam, her sister, Lila, or a private detective who has been hired to find Marion and the money. But a deadly secret is waiting to be discovered inside the Bates house."
"The Human Centipede (First Sequence)","Horror","Americans Lindsay and Jenny are on vacation traveling through Europe. In Germany, they meet a waiter who invites them to a party in a nightclub called Bunker. They rent a car, but they get lost on a lonely road in the woods. When they have a flat tire, they do not replace the tire and prefer to seek for help instead. They reach a house, where they are received by a psychopathic mad scientist named Joseph Heiter, who drugs them. When Lindsay and Jenny awake, they find that they are tied to a bed in a laboratory in the basement of the house. Sooner, Dr. Heiter brings a Japanese tourist named Katsuro and introduces himself as a former surgeon specialized in separating Siamese twins. Further, he details his insane project of creating a human centipede by joining three human beings through their mouths and anuses."
"Paranormal Activity 4","Horror","The movie begins with the end of Paranormal Activity 2 (2010). Katie is possessed by a demon, kills her sister Kristi, and runs away with Kristi's son Hunter. The story then jumps ahead five years later and focuses on siblings Alex and Wyatt, Alex's boyfriend Ben, and a frightening little boy across the street named Robbie. Alex and Ben decide to use laptop computers to document the frightening supernatural occurrences that happen when Robbie is around Alex's house. Robbie seems especially interested in Alex's brother Wyatt, and wants what he and Wyatt do to be kept secret from Alex. Alex's parents are too detached to notice the evil emerging around them."
"Anaconda","Adventure,Thriller","Sent on a National Geographic survey of the jungle to capture the largest anaconda, a group of cardboard cutouts posing as actors bite off more than they can chew and get chewed up by an over sized and very agitated snake. That sums up the film. What looks like it may be a turkey is saved by a CGI snake upstaging all the actors and devouring them. Unfortunately J-Lo survives since she would be too glamorous to be devoured and she would have made the snake look tame by comparison by throwing a hissy fit if she was to be eaten. The perfect Saturday night film showing that not all films need to aspire to Citizen Kane and fun for the sake of it is an art form in itself"
"Leprechaun","Comedy,Fantasy,Horror","The movie that started it all. Warwick Davis from Willow plays a mean Leprechaun that doesn't like to play by the rules, and will kill anyone who goes near his gold. A somewhat delusional man named Dan O'Grady brings home the gold from Ireland after he caught the leprechaun, only Leprechaun had followed him and wreaks havoc until Dan locks him in a crate and attempts to burn him, but has a stroke. 10 years later, two people buy the O'Grady's old house, (they are J.D. and his spoiled daughter Tory), not knowing what is locked in a crate in the basement. Also there are three painters: Nathan, his brother Alex, and Alex's dim friend Ozzie. That afternoon Ozzie and Alex find the Leprechaun's gold, and Ozzie accidentally releases Leprechaun from his crate and he goes on a killing spree and terrorizes the four friends, trying to get his missing gold coin back. Finally they learn the only way to destroy it is to go find Dan O'Grady, thinking he may know a way. They find him at a rest home, he tells them a four leaf clover is the only way. So now Tory and her friends must find a four leaf clover in a big clover patch before Leprechaun finds them!"
"Friday the 13th: A New Beginning","Horror,Mystery,Thriller","10 years after killing the goalie hockey-masked killer Jason Voorhees, Tommy Jarvis has grown up in various mental hospitals unable to get over the nightmares about Jason's return. When Tommy is sent to a rural halfway house in California for mentally disturbed teenagers, a series of grisly murders begin anew as another hockey-masked killer begins killing off all people at and around the residence. Has Jason returned from the dead to re-start his killing spree? Has Tommy decided to take over the reign of Jason, or has someone else?"
"Black Christmas","Horror,Thriller","Not all Christmas stories are full of cheer - take the disturbing childhood of Billy Lenz, for example. Born during Christmas, little Billy Lenz suffered from Jaundice because of a liver defect, and was unwanted by his cruel mother (who only saw the husband she'd come to despise when she looked at her son). While she let her true feelings be known to him with beatings and abuse, only his father showed him compassion like a parent should. But on Christmas Eve in 1975, his unfaithful mother gave him one of the most cruelest gifts of all, as she made five-year-old Billy observe his beloved father's brutal murder at her own hands and those of her lover with a claw hammer. Before burying him under the house, she locked Billy in the attic for good, to hold his silence of what he'd witnessed that night. His only contact from then on was when she came to punish him for making a noise or other such trivial nuisances, while she was with her lover and starting a "new" family. As Billy's mother fell pregnant with a daughter and treated her with love, which Billy had never experienced with his mother, Billy came out of the attic on Christmas Eve 1991, taking a rolling pin to his mother's head, and a pointed tree ornament to her lovers eye before leaving his sister as disfigured as he was by blinding her. Before he could finish the job police forced there way in and dragged him off to mental institution and his sister a foster home, whose eye sight was saved in one eye... but not the other. Cut to the present where a security guard has been monitoring Billy's progress since he came into his care, back in 1991. Knowing full well that during this time for fifteen years, Billy has made a break from this asylum, but never succeeding... until now. Far away, his childhood home is now a sorority house, where nine sisters and their house-mother are celebrating the holiday season together ...but tonight they're about to get a surprise visitor... and it's not Santa."
"Wrong Turn 4: Bloody Beginnings","Horror,Thriller","Follows a group of friends that decide to go snowmobiling during their winter break. They make a "wrong turn", getting lost in a storm, and seek shelter in an abandoned sanatorium. They are completely isolated by the storm and are thankful they can get out of the elements. But the sanatorium has a troubled past, and some of its former patients still reside there and are not happy about the intrusion. In a deadly game of cat and mouse, the college kids must fight to survive the night."
"Jason X","Horror,Sci-Fi,Thriller","Finally captured in the year 2008, Jason Voorhees (Kane Hodder) is held inside a government research facility whose scientists try to answer the question that keeps eluding them - why one of the most infamous mass murderers in history cannot die. Once Rowan (Lexa Doig), leader of the research project, prepares the specimen for cryogenic suspension, a greedy scientist goes over her head and comes to remove Jason, only to have the mad slasher break free and slaughter him and his entire entourage. Tricking Jason into following her, Rowan eludes him into entering the cryogenic freezer and begins the process, but a breach in the system causes her to freeze with him. The government tries to deny any evidence of the project, and nearly four centuries pass, during which the Earth gradually becomes less and less habitable and humans have relocated to a planet in another star system that they've named Earth II. A team of young students descends onto the ruined Earth, where they find the frozen bodies of Jason and Rowan in the forgotten research facility and take back on board their ship with them. Rowan is thawed and revived, but the team mistakes Jason to be dead, having no idea of his abilities or motives. Before long, Jason awakens to the sound of young people having premarital sex once again, and the carnage erupts once again as the ship proceeds to Earth II. The remaining survivors fight for their lives as the centuries-old mad slasher proves that he is just as evil and just as indestructible during their time as he was centuries before."
"Piranha 3DD","Comedy,Horror,Thriller","Lake Victory is a dead place after the tragic events with the invasion of prehistoric flesh-eaters piranhas. In Cross Lake, Merkin County, the greedy Chet opens The Big Wet Water Park against the will of his stepdaughter Maddy. When the van of her friends Travis and Ashley is found in the water and the couple is missing, Maddy and her friend Shelby miss them and they talk on a wooden deck on the lake; out of the blue, they are attacked by piranhas. Maddy visits the specialist in piranhas Mr. Carl Goodman with her former school friend Barry, who works at The Big Wet, and with her former boyfriend, Deputy Kyle, and they discover piranhas in the lake. However Chet refuses to shutdown his water park and soon his costumers are under the attack of the fearful piranhas."
"Dragonball: Evolution","Action,Adventure,Fantasy","The story begins with Goku, who seeks out upon his adoptive grandfather Grandpa Gohan's dying request to find the great Master Roshi and gather all seven Dragon Balls. Of which he has one, in order to prevent the evil Lord Piccolo from succeeding in his desire to use the Dragon Balls to take over the world. And Goku's quest is to obtain the mystical Dragonballs before Piccolo does."
